unique_id,ds,y
QQQ,2020-01-03 06:10:00,206.1123
QQQ,2020-01-03 06:15:00,206.3641
QQQ,2020-01-03 06:20:00,206.2285
QQQ,2020-01-03 06:25:00,206.277
QQQ,2020-01-03 06:30:00,206.093
QQQ,2020-01-03 06:35:00,206.2576
QQQ,2020-01-03 06:40:00,206.2576
QQQ,2020-01-03 06:45:00,206.3544
QQQ,2020-01-03 06:50:00,206.2867
QQQ,2020-01-03 06:55:00,206.2576
QQQ,2020-01-03 07:00:00,206.3544
QQQ,2020-01-03 07:05:00,206.3254
QQQ,2020-01-03 07:10:00,206.6644
QQQ,2020-01-03 07:15:00,206.8677
QQQ,2020-01-03 07:20:00,206.6934
QQQ,2020-01-03 07:25:00,206.645
QQQ,2020-01-03 07:30:00,206.7515
QQQ,2020-01-03 07:35:00,206.674
QQQ,2020-01-03 07:40:00,206.6547
QQQ,2020-01-03 07:45:00,206.674
QQQ,2020-01-03 07:50:00,206.5481
QQQ,2020-01-03 07:55:00,206.7322
QQQ,2020-01-03 08:00:00,206.984
QQQ,2020-01-03 08:05:00,206.9936
QQQ,2020-01-03 08:10:00,207.0905
QQQ,2020-01-03 08:15:00,207.2358
QQQ,2020-01-03 08:20:00,207.3423
QQQ,2020-01-03 08:25:00,207.3907
QQQ,2020-01-03 08:30:00,207.1099
QQQ,2020-01-03 08:35:00,207.1099
QQQ,2020-01-03 08:40:00,207.1389
QQQ,2020-01-03 08:45:00,207.197
QQQ,2020-01-03 08:50:00,207.1873
QQQ,2020-01-03 08:55:00,207.0421
QQQ,2020-01-03 09:00:00,207.1099
QQQ,2020-01-03 09:05:00,207.0614
QQQ,2020-01-03 09:10:00,206.829
QQQ,2020-01-03 09:15:00,206.8871
QQQ,2020-01-03 09:20:00,206.8
QQQ,2020-01-03 09:25:00,206.5772
QQQ,2020-01-03 09:30:00,207.7975
QQQ,2020-01-03 09:35:00,207.7491
QQQ,2020-01-03 09:40:00,208.1171
QQQ,2020-01-03 09:45:00,208.0106
QQQ,2020-01-03 09:50:00,207.7373
QQQ,2020-01-03 09:55:00,207.8459
QQQ,2020-01-03 10:00:00,207.4861
QQQ,2020-01-03 10:05:00,207.6813
QQQ,2020-01-03 10:10:00,207.8169
QQQ,2020-01-03 10:15:00,207.6814
QQQ,2020-01-03 10:20:00,207.8017
QQQ,2020-01-03 10:25:00,207.9089
QQQ,2020-01-03 10:30:00,207.9234
QQQ,2020-01-03 10:35:00,207.8265
QQQ,2020-01-03 10:40:00,208.0279
QQQ,2020-01-03 10:45:00,207.9137
QQQ,2020-01-03 10:50:00,207.6958
QQQ,2020-01-03 10:55:00,207.6682
QQQ,2020-01-03 11:00:00,207.4953
QQQ,2020-01-03 11:05:00,207.4779
QQQ,2020-01-03 11:10:00,207.6328
QQQ,2020-01-03 11:15:00,207.6474
QQQ,2020-01-03 11:20:00,207.7297
QQQ,2020-01-03 11:25:00,207.7345
QQQ,2020-01-03 11:30:00,207.8653
QQQ,2020-01-03 11:35:00,207.875
QQQ,2020-01-03 11:40:00,207.9234
QQQ,2020-01-03 11:45:00,207.9428
QQQ,2020-01-03 11:50:00,208.0687
QQQ,2020-01-03 11:55:00,208.0396
QQQ,2020-01-03 12:00:00,208.3272
QQQ,2020-01-03 12:05:00,208.3786
QQQ,2020-01-03 12:10:00,208.243
QQQ,2020-01-03 12:15:00,208.3107
QQQ,2020-01-03 12:20:00,208.3398
QQQ,2020-01-03 12:25:00,208.272
QQQ,2020-01-03 12:30:00,208.4025
QQQ,2020-01-03 12:35:00,208.4609
QQQ,2020-01-03 12:40:00,208.5142
QQQ,2020-01-03 12:45:00,208.5577
QQQ,2020-01-03 12:50:00,208.5626
QQQ,2020-01-03 12:55:00,208.485
QQQ,2020-01-03 13:00:00,208.4173
QQQ,2020-01-03 13:05:00,208.4173
QQQ,2020-01-03 13:10:00,208.4028
QQQ,2020-01-03 13:15:00,208.1656
QQQ,2020-01-03 13:20:00,208.3146
QQQ,2020-01-03 13:25:00,208.3592
QQQ,2020-01-03 13:30:00,208.1268
QQQ,2020-01-03 13:35:00,207.9815
QQQ,2020-01-03 13:40:00,208.0506
QQQ,2020-01-03 13:45:00,208.1752
QQQ,2020-01-03 13:50:00,208.0299
QQQ,2020-01-03 13:55:00,208.0351
QQQ,2020-01-03 14:00:00,207.8362
QQQ,2020-01-03 14:05:00,207.7878
QQQ,2020-01-03 14:10:00,207.7878
QQQ,2020-01-03 14:15:00,207.873
QQQ,2020-01-03 14:20:00,207.8556
QQQ,2020-01-03 14:25:00,207.8942
QQQ,2020-01-03 14:30:00,207.8847
QQQ,2020-01-03 14:35:00,208.0106
QQQ,2020-01-03 14:40:00,208.0106
QQQ,2020-01-03 14:45:00,208.0299
QQQ,2020-01-03 14:50:00,208.151
QQQ,2020-01-03 14:55:00,208.1752
QQQ,2020-01-03 15:00:00,208.3011
QQQ,2020-01-03 15:05:00,208.1752
QQQ,2020-01-03 15:10:00,208.0687
QQQ,2020-01-03 15:15:00,208.0493
QQQ,2020-01-03 15:20:00,207.9428
QQQ,2020-01-03 15:25:00,207.875
QQQ,2020-01-03 15:30:00,207.7162
QQQ,2020-01-03 15:35:00,207.6716
QQQ,2020-01-03 15:40:00,207.7878
